Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Trent Sherfield,MIA,WR,83.7,92.1,-8.399999999999991,4.9,5.4,-0.5,17,30,31.22,417,423.97,2,3.0816,0,0.0,0,0.0
Chris Conley,TEN,WR,8.6,11.6,-3.0,1.0,1.3,-0.3,9,4,4.55,46,70.64,0,0.0,0,0.0,0,0.0
Hunter Renfrow,LV,WR,81.0,82.7,-1.7000000000000028,8.1,8.3,-0.2,10,36,36.78,330,394.57,2,1.0848,0,0.0,0,0.0
Rhamondre Stevenson,NE,RB,251.2,270.6,-19.40000000000004,14.8,15.9,-1.1,17,69,75.97,421,500.83,1,2.1312,1041,890.1058,5,7.13
Christian McCaffrey,SF,RB,351.0,316.5,34.5,20.6,18.6,2.0,17,85,83.44,741,603.01,5,3.4384,1139,1017.9382,8,8.39
Breshad Perriman,TB,WR,25.3,34.3,-8.999999999999996,2.3,3.1,-0.8,11,9,11.33,110,160.96,1,0.9984,-7,9.1924,0,0.0
T.J. Hockenson,MIN,TE,213.4,220.1,-6.699999999999989,12.6,12.9,-0.4,17,86,84.35,914,910.64,6,7.4496,0,0.0,0,0.0
DJ Turner,LV,WR,2.6,4.3,-1.6999999999999995,0.4,0.7,-0.3,6,0,0.89,0,3.97,0,0.1632,26,17.0324,0,0.05
Devin Singletary,BUF,RB,183.9,191.8,-7.900000000000006,11.5,12.0,-0.5,16,38,40.37,280,299.25,1,1.44,819,733.7076,5,6.58
Nico Collins,HST,WR,97.1,116.2,-19.10000000000001,9.7,11.6,-1.9,10,37,38.9,481,556.22,2,3.6096,0,0.0,0,0.0
Zamir White,LV,RB,7.0,8.2,-1.1999999999999993,0.6,0.7,-0.1,12,0,0.0,0,0.0,0,0.0,70,73.4902,0,0.14
Erik Ezukanma,MIA,WR,1.3,1.6,-0.3,1.3,1.6,-0.3,1,1,0.94,3,5.77,0,0.0096,0,0.0,0,0.0
Damien Harris,NE,RB,91.0,99.2,-8.200000000000003,8.3,9.0,-0.7,11,17,17.59,97,121.13,0,1.5264,463,454.0536,3,2.49
Chigoziem Okonkwo,TEN,TE,95.1,81.7,13.399999999999991,5.6,4.8,0.8,17,32,30.47,449,339.66,3,2.7168,2,9.2022,0,0.0
Caleb Huntley,ATL,RB,44.9,48.8,-3.899999999999999,3.7,4.1,-0.3,12,2,1.81,3,11.44,0,0.0,366,319.6662,1,2.32
David Montgomery,CHI,RB,181.7,177.4,4.299999999999983,11.4,11.1,0.3,16,34,32.48,316,243.33,1,0.7104,801,857.7066,5,5.1
Connor Heyward,PIT,TE,35.8,29.1,6.699999999999996,2.1,1.7,0.4,17,12,10.56,151,99.25,1,1.296,27,8.232,0,0.01
Tommy Sweeney,BUF,TE,1.7,1.6,0.0999999999999998,0.3,0.3,0.0,5,1,0.88,7,7.46,0,0.0,0,0.0,0,0.0
Maxx Williams,ARZ,TE,4.8,3.2,1.5999999999999996,0.4,0.3,0.1,11,3,1.84,18,13.68,0,0.0,0,0.0,0,0.0
Spencer Brown,CAR,RB,7.3,13.3,-6.000000000000001,3.6,6.7,-3.0,2,2,3.53,10,27.3,0,0.0,43,36.799,0,0.56
Michael Woods II,CLV,WR,9.0,21.9,-12.9,0.9,2.2,-1.3,10,5,5.77,45,83.79,0,1.2864,-5,0.0,0,0.0
