player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Reggie Wayne,800,WR,IND,19,10.9,7,67.4,,0,0,1,3.3,4,83,14,1,90.5,68.3,86.2,,85.6,0.0,0,11,65,0.0,0,731,4,116,95.6,699,13.7,100,87.5,172,11,86.3,631,1424,500,4.3,12.3,2.04
Larry Fitzgerald,1724,WR,ARZ,18,11.6,10,66.9,,0,0,0,3.5,4,77,1,1,89.0,60.8,83.2,67.4,81.7,0.4,3,6,34,0.1,1,726,3,109,95.0,690,24.5,178,105.2,163,15,75.1,545,1254,376,3.4,11.5,1.82
Dallas Clark,1340,TE,IND,19,7.4,9,76.1,,0,0,0,7.8,10,70,14,1,64.4,62.5,84.4,71.9,87.2,71.9,539,2,80,16.1,121,750,1,118,80.5,604,19.3,145,118.4,155,11,3.5,26,1286,565,4.8,10.9,2.13
Wes Welker,2204,WR,NE,14,5.8,13,80.4,,0,0,0,4.7,6,71,19,0,83.5,85.3,90.6,,90.6,0.0,0,1,58,0.0,0,473,0,123,94.9,449,71.9,340,109.4,153,4,27.5,130,1348,739,6.0,11.0,3.0
Roddy White,2244,WR,ATL,16,11.4,5,55.9,,0,0,1,6.6,6,54,2,1,70.5,62.9,75.1,,75.4,0.0,0,7,90,0.0,0,626,7,85,94.4,591,26.0,163,85.2,152,11,73.2,458,1153,398,4.7,13.6,1.95
Andre Johnson,1319,WR,HST,16,11.8,7,66.4,,0,0,0,8.2,9,69,13,1,67.1,58.5,87.8,69.9,85.8,0.5,3,6,72,0.3,2,637,0,101,97.3,620,15.4,98,103.8,152,9,84.0,535,1569,564,5.6,15.5,2.53
Steve Smith,3667,WR,NYG,16,11.7,3,70.9,,0,0,2,5.3,6,61,21,0,88.1,84.0,82.2,,81.7,0.0,0,4,51,0.0,0,564,5,107,94.7,534,72.9,411,99.2,151,7,27.1,153,1220,249,2.3,11.4,2.28
Brandon Marshall,3064,WR,DEN,15,9.8,13,67.8,,0,0,0,7.3,8,56,10,0,62.8,84.4,80.9,,81.7,0.8,4,4,75,0.0,0,501,4,101,96.2,482,26.3,132,101.1,149,10,72.7,364,1120,511,5.1,11.1,2.32
Randy Moss,342,WR,NE,17,15.2,3,62.4,,0,0,1,8.3,8,66,19,2,61.6,29.5,75.5,,74.1,0.0,0,8,71,0.0,0,663,4,88,94.0,623,20.2,134,100.0,141,13,79.8,529,1312,351,4.0,14.9,2.11
Miles Austin,3211,WR,DAL,18,10.6,13,66.7,,0,0,0,3.2,3,63,9,1,87.9,57.0,82.5,,83.5,0.0,0,2,60,0.0,0,590,2,92,94.9,560,23.1,136,123.9,138,12,76.3,450,1436,682,7.4,15.6,2.56
Derrick Mason,271,WR,BLT,18,14.6,8,56.5,,0,0,0,7.1,6,59,3,0,62.9,82.2,77.2,,77.5,0.0,0,3,72,0.0,0,606,3,78,94.6,573,14.7,89,90.2,138,7,85.3,517,1100,287,3.7,14.1,1.92
Jason Witten,1384,TE,DAL,18,7.2,7,78.8,,0,0,1,5.3,6,54,9,0,74.7,84.1,84.2,74.7,78.0,68.4,482,3,69,13.2,93,705,11,108,82.6,582,16.5,116,97.5,137,2,4.8,34,1155,466,4.3,10.7,1.98
