player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Michael Turner,1873,HB,ATL,17,394,50,25,34.3,597,0,1741,2,1,50,1313,42.4,46,89,2,3,0,85.6,71.1,82.4,,72.1,42.1,71.2,57.1,70,0,48,7,148,438,0,0,10,401,18,1741,1313,3.33,4.4,0.32,0
Adrian Peterson,3623,HB,MIN,17,383,55,27,41.4,763,0,1843,6,2,55,1220,44.9,43,84,18,10,0,29.7,64.9,32.4,,62.5,33.9,69.6,58.3,67,1,125,21,239,425,0,0,34,404,12,1843,1220,3.19,4.8,0.52,0
Clinton Portis,1058,HB,WAS,16,342,26,15,23.5,349,1,1487,6,2,26,924,20.4,34,76,32,3,0,72.5,68.5,32.8,,79.7,46.2,69.2,77.9,31,2,218,28,250,375,0,0,35,370,9,1487,924,2.7,4.3,0.87,0
Matt Forte,4358,HB,CHI,16,316,22,13,26.7,330,0,1238,2,10,22,692,18.5,24,64,6,1,0,89.7,59.9,83.9,,74.9,87.5,49.3,60.3,50,0,477,63,329,353,0,0,74,379,8,1238,692,2.19,3.9,1.45,0
Ryan Grant,2609,HB,GB,16,312,22,11,22.2,267,0,1203,3,1,22,814,18.2,27,53,12,4,0,62.7,50.5,81.8,,53.8,44.4,53.3,60.4,57,0,116,18,175,339,0,0,22,330,4,1203,814,2.61,3.9,0.66,0
LaDainian Tomlinson,777,HB,SD,17,297,24,7,19.0,216,0,1135,6,5,24,716,20.0,18,55,27,1,0,90.2,50.6,57.9,,28.8,50.7,54.9,53.3,45,2,415,52,338,330,0,0,69,349,12,1135,716,2.41,3.8,1.23,0
Thomas Jones,585,HB,NYJ,16,290,18,12,21.6,283,1,1312,0,3,18,766,17.0,30,63,22,2,0,77.7,54.2,49.1,,76.6,63.1,53.1,58.8,59,1,207,36,183,323,0,0,42,326,13,1312,766,2.64,4.5,1.13,0
DeAngelo Williams,2972,HB,CAR,17,285,57,25,44.2,698,1,1578,3,5,57,1117,78.9,41,69,5,0,0,91.3,81.4,53.9,,50.1,44.9,86.4,58.1,69,1,127,23,233,308,0,0,30,308,18,1578,1117,3.92,5.5,0.55,0
Brian Westbrook,1094,HB,PHI,17,283,14,11,22.0,232,0,1055,3,2,14,570,9.4,22,53,24,4,0,81.2,58.4,84.8,,74.9,56.1,56.0,69.8,39,0,519,61,440,327,0,0,82,344,9,1055,570,2.01,3.7,1.18,0
Willie Parker,2142,HB,PIT,14,280,23,9,20.3,211,0,1037,3,1,23,723,21.7,24,42,25,1,0,86.0,46.3,81.8,,72.2,34.0,50.4,57.6,34,0,9,5,122,310,0,0,12,285,7,1037,723,2.58,3.7,0.07,0
Jamal Lewis,583,HB,CLV,16,279,23,9,17.4,174,0,1002,4,4,23,706,22.6,22,44,8,2,0,76.1,45.4,81.9,,53.5,39.1,49.6,57.3,29,0,178,23,167,318,0,0,31,302,4,1002,706,2.53,3.6,1.07,0
Steve Slaton,4403,HB,HST,16,268,34,18,42.8,549,0,1282,0,11,34,829,43.8,30,60,13,3,0,66.5,70.3,83.6,,64.0,72.2,67.6,59.5,71,0,418,50,355,289,0,0,56,318,9,1282,829,3.09,4.8,1.18,0
Le'Ron McClain,3753,HB,BLT,19,264,34,4,14.2,142,1,997,6,5,34,741,38.7,13,54,3,5,0,41.8,43.3,46.9,,79.3,30.2,44.4,69.8,82,3,123,19,169,502,0,0,30,283,11,997,741,2.81,3.8,0.73,0
Chris Johnson,4338,HB,TEN,16,262,35,17,36.2,471,0,1300,6,4,35,816,39.7,38,57,31,1,0,89.2,69.1,54.4,,47.4,50.1,73.3,86.3,66,2,288,44,280,287,0,0,60,306,10,1300,816,3.11,5.0,1.03,0
Steven Jackson,1745,HB,SL,12,253,25,10,25.1,262,0,1042,7,10,25,758,35.8,20,58,26,5,0,46.7,53.3,28.0,,57.4,60.8,53.6,46.4,56,3,379,40,250,276,0,0,56,293,7,1042,758,3.0,4.1,1.52,0
Marshawn Lynch,3628,HB,BUF,15,250,42,11,25.3,262,1,1036,10,10,42,749,52.5,26,53,4,3,0,75.0,69.3,16.2,,45.5,50.3,76.7,59.3,50,3,300,47,303,278,0,0,64,297,8,1036,749,3.0,4.1,0.99,0
Frank Gore,2282,HB,SF,14,240,20,10,25.2,261,0,1036,4,8,20,612,25.2,20,47,28,7,0,40.7,53.5,32.7,,64.9,57.6,52.9,57.1,41,2,373,43,326,276,0,0,58,283,6,1036,612,2.55,4.3,1.14,0
Brandon Jacobs,2327,HB,NYG,14,238,27,17,36.9,436,0,1181,4,0,27,787,36.6,30,62,21,3,0,62.3,63.2,39.8,,82.7,29.3,66.2,60.2,44,1,36,6,107,249,0,0,11,244,15,1181,787,3.31,5.0,0.34,0
Marion Barber III,2326,HB,DAL,15,238,26,13,28.6,253,0,885,3,10,26,569,29.7,23,57,9,7,0,31.2,52.6,55.8,,67.4,48.6,53.7,55.3,35,1,434,52,308,269,0,0,60,290,7,885,569,2.39,3.7,1.41,0
Kevin Smith,4378,HB,DET,16,238,31,12,29.8,291,1,976,3,6,31,680,38.2,26,50,11,3,0,77.0,63.6,30.3,,65.0,57.7,65.1,57.5,50,3,286,39,347,254,0,0,52,277,8,976,680,2.86,4.1,0.82,0
Ronnie Brown,2219,HB,MIA,17,226,31,11,27.4,256,1,935,4,8,31,617,40.2,21,48,17,1,0,75.8,62.4,59.6,57.5,69.7,54.4,64.1,57.1,62,1,297,39,249,301,0,0,45,265,10,935,617,2.73,4.1,1.19,0
Justin Fargas,1410,HB,OAK,14,218,13,6,15.0,126,0,838,2,1,13,518,14.6,17,33,23,3,0,68.7,53.7,81.0,,67.3,41.7,54.9,68.9,42,0,52,10,123,239,0,0,14,228,1,838,518,2.38,3.8,0.42,0
LenDale White,2990,HB,TEN,17,215,6,6,25.9,212,0,818,4,3,6,432,8.1,15,46,31,2,0,68.1,41.2,80.0,,78.3,27.2,47.5,58.7,80,0,51,9,102,229,0,0,14,224,15,818,432,2.01,3.8,0.5,0
Cedric Benson,2221,HB,CIN,12,214,15,4,14.9,111,0,747,0,2,15,509,17.3,20,37,7,2,0,85.3,53.9,80.8,,63.8,69.0,51.4,59.8,46,0,185,20,164,232,0,0,23,234,2,747,509,2.38,3.5,1.13,0
Willis McGahee,1339,HB,BLT,16,209,21,4,19.2,158,0,825,4,6,21,524,28.6,16,41,3,6,0,45.5,45.6,21.3,,74.2,34.5,48.8,69.1,77,2,199,28,164,267,0,0,35,237,9,825,524,2.51,3.9,1.21,0
Maurice Jones-Drew,3005,HB,JAX,16,197,28,11,26.3,217,0,824,5,16,28,490,42.3,21,48,15,6,0,39.6,59.6,55.7,,65.6,72.7,53.0,77.9,46,1,569,62,331,232,0,0,73,259,12,824,490,2.49,4.2,1.72,0
Derrick Ward,1949,HB,NYG,17,194,23,15,32.5,348,0,1071,7,7,23,711,45.8,36,55,21,2,0,73.6,73.9,82.3,,78.5,59.5,73.7,58.0,51,0,408,46,246,214,0,0,58,240,2,1071,711,3.66,5.5,1.66,0
Edgerrin James,439,HB,ARZ,17,194,23,5,13.9,104,0,750,4,2,23,541,32.7,15,36,1,2,0,67.1,50.8,42.8,,58.2,40.5,54.1,81.8,35,1,147,19,163,207,0,0,25,213,4,750,541,2.79,3.9,0.9,0
Larry Johnson,1343,HB,KC,12,192,15,11,40.6,355,0,874,0,0,15,519,19.9,19,44,16,5,0,52.2,58.7,80.9,68.9,77.0,54.6,56.5,59.5,65,0,66,12,140,212,0,0,14,204,5,874,519,2.7,4.6,0.47,0
Jonathan Stewart,4327,HB,CAR,17,187,36,14,37.8,322,0,851,0,4,36,654,70.7,21,43,5,2,0,64.5,69.3,80.1,,72.0,52.9,69.0,58.2,44,0,86,11,112,203,0,0,16,198,11,851,654,3.5,4.6,0.77,0
Warrick Dunn,236,HB,TB,15,186,12,7,21.1,166,0,786,6,3,12,451,15.6,19,31,30,0,0,90.7,58.1,82.2,,53.6,54.8,59.3,67.9,40,0,330,47,300,209,0,0,61,233,2,786,451,2.42,4.2,1.1,0
Tim Hightower,4463,HB,ARZ,20,178,14,6,21.8,116,0,531,8,2,14,417,17.4,14,41,1,2,0,66.6,47.0,82.0,,62.9,44.4,47.6,70.1,30,0,254,37,279,209,0,0,49,215,11,531,417,2.34,3.0,0.91,0
